n_sources,fraction_changed,n_changed,seed,variant,fetches
6,0.1667,1,40260930,AFFECTED,1
6,0.1667,1,40260930,RESIDUAL,0
6,0.1667,1,40260930,CWR,0
6,0.1667,1,40260931,FULL,6
6,0.1667,1,40260931,AFFECTED,1
6,0.1667,1,40260931,RESIDUAL,0
6,0.1667,1,40260931,CWR,0
6,0.1667,1,40260932,FULL,6
6,0.1667,1,40260932,AFFECTED,1
6,0.1667,1,40260932,RESIDUAL,0
6,0.1667,1,40260932,CWR,0
6,0.1667,1,40260933,FULL,6
6,0.1667,1,40260933,AFFECTED,1
6,0.1667,1,40260933,RESIDUAL,0
6,0.1667,1,40260933,CWR,0
6,0.1667,1,40260934,FULL,6
6,0.1667,1,40260934,AFFECTED,1
6,0.1667,1,40260934,RESIDUAL,0
6,0.1667,1,40260934,CWR,0
6,0.1667,1,40260935,FULL,6
6,0.1667,1,40260935,AFFECTED,1
6,0.1667,1,40260935,RESIDUAL,0
6,0.1667,1,40260935,CWR,0
6,0.3333,2,40260916,FULL,6
6,0.3333,2,40260916,AFFECTED,2
6,0.3333,2,40260916,RESIDUAL,0
6,0.3333,2,40260916,CWR,0
6,0.3333,2,40260917,FULL,6
6,0.3333,2,40260917,AFFECTED,2
6,0.3333,2,40260917,RESIDUAL,0
6,0.3333,2,40260917,CWR,0
6,0.3333,2,40260918,FULL,6
6,0.3333,2,40260918,AFFECTED,2
6,0.3333,2,40260918,RESIDUAL,0
6,0.3333,2,40260918,CWR,0
6,0.3333,2,40260919,FULL,6
6,0.3333,2,40260919,AFFECTED,2
6,0.3333,2,40260919,RESIDUAL,0
6,0.3333,2,40260919,CWR,0
6,0.3333,2,40260920,FULL,6
6,0.3333,2,40260920,AFFECTED,2
6,0.3333,2,40260920,RESIDUAL,0
6,0.3333,2,40260920,CWR,0
6,0.3333,2,40260921,FULL,6
6,0.3333,2,40260921,AFFECTED,2
6,0.3333,2,40260921,RESIDUAL,0
6,0.3333,2,40260921,CWR,0
6,0.3333,2,40260922,FULL,6
6,0.3333,2,40260922,AFFECTED,2
6,0.3333,2,40260922,RESIDUAL,0
6,0.3333,2,40260922,CWR,0
6,0.3333,2,40260923,FULL,6
6,0.3333,2,40260923,AFFECTED,2
6,0.3333,2,40260923,RESIDUAL,0
6,0.3333,2,40260923,CWR,0
6,0.3333,2,40260924,FULL,6
6,0.3333,2,40260924,AFFECTED,2
6,0.3333,2,40260924,RESIDUAL,0
6,0.3333,2,40260924,CWR,0
6,0.3333,2,40260925,FULL,6
6,0.3333,2,40260925,AFFECTED,2
6,0.3333,2,40260925,RESIDUAL,0
6,0.3333,2,40260925,CWR,0
6,0.3333,2,40260926,FULL,6
6,0.3333,2,40260926,AFFECTED,2
6,0.3333,2,40260926,RESIDUAL,0
6,0.3333,2,40260926,CWR,0
6,0.3333,2,40260927,FULL,6
6,0.3333,2,40260927,AFFECTED,2
6,0.3333,2,40260927,RESIDUAL,0
6,0.3333,2,40260927,CWR,0
6,0.3333,2,40260928,FULL,6
6,0.3333,2,40260928,AFFECTED,2
6,0.3333,2,40260928,RESIDUAL,0
6,0.3333,2,40260928,CWR,0
6,0.3333,2,40260929,FULL,6
6,0.3333,2,40260929,AFFECTED,2
6,0.3333,2,40260929,RESIDUAL,0
6,0.3333,2,40260929,CWR,0
6,0.3333,2,40260930,FULL,6
6,0.3333,2,40260930,AFFECTED,2
6,0.3333,2,40260930,RESIDUAL,0
6,0.3333,2,40260930,CWR,0
6,0.3333,2,40260931,FULL,6
6,0.3333,2,40260931,AFFECTED,2
6,0.3333,2,40260931,RESIDUAL,0
6,0.3333,2,40260931,CWR,0
6,0.3333,2,40260932,FULL,6
6,0.3333,2,40260932,AFFECTED,2
6,0.3333,2,40260932,RESIDUAL,0
6,0.3333,2,40260932,CWR,0
6,0.3333,2,40260933,FULL,6
6,0.3333,2,40260933,AFFECTED,2
6,0.3333,2,40260933,RESIDUAL,0
6,0.3333,2,40260933,CWR,0
6,0.3333,2,40260934,FULL,6
6,0.3333,2,40260934,AFFECTED,2
6,0.3333,2,40260934,RESIDUAL,0
6,0.3333,2,40260934,CWR,0
6,0.3333,2,40260935,FULL,6
6,0.3333,2,40260935,AFFECTED,2
6,0.3333,2,40260935,RESIDUAL,0
6,0.3333,2,40260935,CWR,0
6,0.5,3,40260916,FULL,6
6,0.5,3,40260916,AFFECTED,3
6,0.5,3,40260916,RESIDUAL,0
6,0.5,3,40260916,CWR,0
6,0.5,3,40260917,FULL,6
6,0.5,3,40260917,AFFECTED,3
6,0.5,3,40260917,RESIDUAL,0
6,0.5,3,40260917,CWR,0
6,0.5,3,40260918,FULL,6
6,0.5,3,40260918,AFFECTED,3
6,0.5,3,40260918,RESIDUAL,0
6,0.5,3,40260918,CWR,0
6,0.5,3,40260919,FULL,6
6,0.5,3,40260919,AFFECTED,3
6,0.5,3,40260919,RESIDUAL,0
6,0.5,3,40260919,CWR,0
6,0.5,3,40260920,FULL,6
6,0.5,3,40260920,AFFECTED,3
6,0.5,3,40260920,RESIDUAL,0
6,0.5,3,40260920,CWR,0
6,0.5,3,40260921,FULL,6
6,0.5,3,40260921,AFFECTED,3
6,0.5,3,40260921,RESIDUAL,0
6,0.5,3,40260921,CWR,0
6,0.5,3,40260922,FULL,6
6,0.5,3,40260922,AFFECTED,3
6,0.5,3,40260922,RESIDUAL,0
6,0.5,3,40260922,CWR,0
6,0.5,3,40260923,FULL,6
6,0.5,3,40260923,AFFECTED,3
6,0.5,3,40260923,RESIDUAL,0
6,0.5,3,40260923,CWR,0
6,0.5,3,40260924,FULL,6
6,0.5,3,40260924,AFFECTED,3
6,0.5,3,40260924,RESIDUAL,0
6,0.5,3,40260924,CWR,0
6,0.5,3,40260925,FULL,6
6,0.5,3,40260925,AFFECTED,3
6,0.5,3,40260925,RESIDUAL,0
6,0.5,3,40260925,CWR,0
6,0.5,3,40260926,FULL,6
6,0.5,3,40260926,AFFECTED,3
6,0.5,3,40260926,RESIDUAL,0
6,0.5,3,40260926,CWR,0
6,0.5,3,40260927,FULL,6
6,0.5,3,40260927,AFFECTED,3
6,0.5,3,40260927,RESIDUAL,0
6,0.5,3,40260927,CWR,0
6,0.5,3,40260928,FULL,6
6,0.5,3,40260928,AFFECTED,3
6,0.5,3,40260928,RESIDUAL,0
6,0.5,3,40260928,CWR,0
6,0.5,3,40260929,FULL,6
6,0.5,3,40260929,AFFECTED,3
6,0.5,3,40260929,RESIDUAL,0
6,0.5,3,40260929,CWR,0
6,0.5,3,40260930,FULL,6
6,0.5,3,40260930,AFFECTED,3
6,0.5,3,40260930,RESIDUAL,0
6,0.5,3,40260930,CWR,0
6,0.5,3,40260931,FULL,6
6,0.5,3,40260931,AFFECTED,3
6,0.5,3,40260931,RESIDUAL,0
6,0.5,3,40260931,CWR,0
6,0.5,3,40260932,FULL,6
6,0.5,3,40260932,AFFECTED,3
6,0.5,3,40260932,RESIDUAL,0
6,0.5,3,40260932,CWR,0
6,0.5,3,40260933,FULL,6
6,0.5,3,40260933,AFFECTED,3
6,0.5,3,40260933,RESIDUAL,0
6,0.5,3,40260933,CWR,0
6,0.5,3,40260934,FULL,6
6,0.5,3,40260934,AFFECTED,3
6,0.5,3,40260934,RESIDUAL,0
6,0.5,3,40260934,CWR,0
6,0.5,3,40260935,FULL,6
6,0.5,3,40260935,AFFECTED,3
6,0.5,3,40260935,RESIDUAL,0
6,0.5,3,40260935,CWR,0
6,0.6667,4,40260916,FULL,6
6,0.6667,4,40260916,AFFECTED,4
6,0.6667,4,40260916,RESIDUAL,0
6,0.6667,4,40260916,CWR,0
6,0.6667,4,40260917,FULL,6
6,0.6667,4,40260917,AFFECTED,4
6,0.6667,4,40260917,RESIDUAL,0
6,0.6667,4,40260917,CWR,0
6,0.6667,4,40260918,FULL,6
6,0.6667,4,40260918,AFFECTED,4
6,0.6667,4,40260918,RESIDUAL,0
6,0.6667,4,40260918,CWR,0
6,0.6667,4,40260919,FULL,6
6,0.6667,4,40260919,AFFECTED,4
6,0.6667,4,40260919,RESIDUAL,0
6,0.6667,4,40260919,CWR,0
6,0.6667,4,40260920,FULL,6
6,0.6667,4,40260920,AFFECTED,4
6,0.6667,4,40260920,RESIDUAL,0
6,0.6667,4,40260920,CWR,0
6,0.6667,4,40260921,FULL,6
6,0.6667,4,40260921,AFFECTED,4
6,0.6667,4,40260921,RESIDUAL,0
6,0.6667,4,40260921,CWR,0
6,0.6667,4,40260922,FULL,6
6,0.6667,4,40260922,AFFECTED,4
6,0.6667,4,40260922,RESIDUAL,0
6,0.6667,4,40260922,CWR,0
6,0.6667,4,40260923,FULL,6
6,0.6667,4,40260923,AFFECTED,4
6,0.6667,4,40260923,RESIDUAL,0
6,0.6667,4,40260923,CWR,0
6,0.6667,4,40260924,FULL,6
6,0.6667,4,40260924,AFFECTED,4
6,0.6667,4,40260924,RESIDUAL,0
6,0.6667,4,40260924,CWR,0
6,0.6667,4,40260925,FULL,6
6,0.6667,4,40260925,AFFECTED,4
6,0.6667,4,40260925,RESIDUAL,0
6,0.6667,4,40260925,CWR,0
6,0.6667,4,40260926,FULL,6
6,0.6667,4,40260926,AFFECTED,4
6,0.6667,4,40260926,RESIDUAL,0
6,0.6667,4,40260926,CWR,0
6,0.6667,4,40260927,FULL,6
6,0.6667,4,40260927,AFFECTED,4
6,0.6667,4,40260927,RESIDUAL,0
6,0.6667,4,40260927,CWR,0
6,0.6667,4,40260928,FULL,6
6,0.6667,4,40260928,AFFECTED,4
6,0.6667,4,40260928,RESIDUAL,0
6,0.6667,4,40260928,CWR,0
6,0.6667,4,40260929,FULL,6
6,0.6667,4,40260929,AFFECTED,4
6,0.6667,4,40260929,RESIDUAL,0
6,0.6667,4,40260929,CWR,0
6,0.6667,4,40260930,FULL,6
6,0.6667,4,40260930,AFFECTED,4
6,0.6667,4,40260930,RESIDUAL,0
6,0.6667,4,40260930,CWR,0
6,0.6667,4,40260931,FULL,6
6,0.6667,4,40260931,AFFECTED,4
6,0.6667,4,40260931,RESIDUAL,0
6,0.6667,4,40260931,CWR,0
6,0.6667,4,40260932,FULL,6
6,0.6667,4,40260932,AFFECTED,4
6,0.6667,4,40260932,RESIDUAL,0
6,0.6667,4,40260932,CWR,0
6,0.6667,4,40260933,FULL,6
6,0.6667,4,40260933,AFFECTED,4
6,0.6667,4,40260933,RESIDUAL,0
6,0.6667,4,40260933,CWR,0
6,0.6667,4,40260934,FULL,6
6,0.6667,4,40260934,AFFECTED,4
6,0.6667,4,40260934,RESIDUAL,0
6,0.6667,4,40260934,CWR,0
6,0.6667,4,40260935,FULL,6
6,0.6667,4,40260935,AFFECTED,4
6,0.6667,4,40260935,RESIDUAL,0
6,0.6667,4,40260935,CWR,0
6,0.8333,5,40260916,FULL,6
6,0.8333,5,40260916,AFFECTED,5
6,0.8333,5,40260916,RESIDUAL,1
6,0.8333,5,40260916,CWR,1
6,0.8333,5,40260917,FULL,6
6,0.8333,5,40260917,AFFECTED,5
6,0.8333,5,40260917,RESIDUAL,1
6,0.8333,5,40260917,CWR,1
6,0.8333,5,40260918,FULL,6
6,0.8333,5,40260918,AFFECTED,5
6,0.8333,5,40260918,RESIDUAL,1
6,0.8333,5,40260918,CWR,1
6,0.8333,5,40260919,FULL,6
6,0.8333,5,40260919,AFFECTED,5
6,0.8333,5,40260919,RESIDUAL,1
6,0.8333,5,40260919,CWR,1
6,0.8333,5,40260920,FULL,6
6,0.8333,5,40260920,AFFECTED,5
6,0.8333,5,40260920,RESIDUAL,1
